id,name,is_back,is_chest,is_shoulders,is_biceps,is_triceps,is_legs,is_core,is_balance,is_cardio,is_weight_per_hand
1,SEATEDROW,True,False,True,True,False,False,False,False,False,True
2,CABLED1,True,False,True,True,False,False,False,False,False,False
3,CABLED2,True,False,True,False,False,False,False,False,False,False
4,D1,True,False,True,True,False,False,False,False,False,True
5,D2,True,False,True,False,False,False,False,False,False,True
6,LATPULLDOWN,True,False,True,True,False,False,False,False,False,False
7,TRIHT,False,False,False,False,True,False,False,False,False,True
8,SIMULTEOUSDUMBBELLCURLS,False,False,False,True,False,False,False,False,False,True
9,LATOVERHEADWEIGHT,True,False,True,False,False,False,True,False,False,False
10,MACHINEFLY,False,True,True,False,False,False,False,False,False,False
11,MACHINECHESTPRESS,False,True,True,False,True,False,False,False,False,False
12,FREEMOTIONCHESTPRESS,False,True,True,False,True,False,False,False,False,False
13,SHRUGS,False,False,True,False,False,False,False,False,False,True
14,SHRUGSBOSU,False,False,True,False,False,False,False,True,False,True
15,JUMPROPE ,False,False,False,False,False,True,False,False,True,False
16,CRUNCHES,False,False,False,False,False,False,True,False,False,False
17,DUMBBELLSHOULDERPRESS,True,False,True,False,True,True,False,False,False,True
18,DUMBBELLCHESTPRESS,False,True,True,False,True,False,False,False,False,True
19,CONCENTRATIONCURLS,False,False,False,True,False,False,False,False,False,True
20,PHILCRUNCH,False,False,False,False,False,False,True,True,False,False
21,BARSHOULDERPRESS,True,False,True,False,True,False,False,False,False,False
22,PLATED1BOSU,True,False,True,False,False,False,True,True,False,False
23,CLIMBPLUSCROSS,False,False,True,False,False,True,True,True,False,False
24,BARCHESTPRESS,False,True,True,False,True,False,False,False,False,False
25,LEGPRESS,False,False,False,False,False,True,False,False,False,False
26,SPLITSQUATS,False,False,False,False,False,True,True,True,False,True
27,DUMBBELLINCLINECHESTPRESS,False,True,True,False,True,False,False,False,False,True
28,D2BOSU,True,False,True,False,False,False,True,True,False,True
29,DECLINECRUNCH,False,False,False,False,False,False,True,False,False,False
30,D1BOSU,True,False,True,False,False,False,True,True,False,True
31,SPLITSQUATS,False,False,False,False,False,True,True,True,False,True
32,DUMBBELLFLY,False,True,False,False,False,False,False,False,False,True
33,PLATED1,True,False,True,False,False,False,False,False,False,False
34,TRICEPSKICKBACK,False,False,False,False,True,False,False,False,False,False
35,RDL,True,False,True,False,False,True,True,False,False,False
36,SABENTOVERROW,True,False,True,True,False,False,False,False,False,False
37,LEGEXTENSION,False,False,False,False,False,True,False,False,False,False
38,LEGCURL,False,False,False,False,False,True,False,False,False,False
39,LEGPRESS,False,False,False,False,False,True,False,False,False,False
