Workout Name,Sets,Reps,Weight (lbs),Date
SeatedRow,3,20,5,2016-11-24
CableD1,3,20,5,2016-11-24
CableD2,3,20,5,2016-11-24
LatPullDown,3,20,40,2016-11-24
Triht,3,15,15,2016-11-24
SimultaneousDumbellCurls,3,15,7.5,2016-11-24
SeatedRow,3,20,5,2016-11-26
CableD1,3,20,5,2016-11-26
CableD2,3,20,5,2016-11-26
LatPullDown,3,20,40,2016-11-26
LatOverheadWeight,3,10,15,2016-11-26
Triht,3,15,15,2016-11-26
SimultaneousDumbellCurls,3,15,10,2016-11-26
SeatedRow,2,20,7.5,2016-11-28
SeatedRow,1,20,5,2016-11-28
D1,2,12,7.5,2016-11-28
D2,3,10,2.5,2016-11-28
LatPullDown,3,20,40,2016-11-28
LatOverheadWeight,3,10,17.5,2016-11-28
Triht,3,15,15,2016-11-28
SimultaneousDumbellCurls,3,15,12.5,2016-11-28
LatPullDown,3,20,40,2016-12-01
MachineChestPress,3,20,15,2016-12-01
SeatedRow,3,20,7.5,2016-12-01
LatOverheadWeight,3,15,17.5,2016-12-01
D1,3,15,5,2016-12-01
D2,3,15,2,2016-12-01
MachineFly,3,20,15,2016-12-01
SimultaneousDumbellCurls,1,15,10,2016-12-01
SimultaneousDumbellCurls,1,12,12.5,2016-12-01
SimultaneousDumbellCurls,1,10,15,2016-12-01
Triht,1,15,12.5,2016-12-01
Triht,1,12,15,2016-12-01
Triht,1,10,17.5,2016-12-01
LatPullDown,3,20,50,2016-12-04
MachineFly,3,20,30,2016-12-04
SeatedRow,3,20,12.5,2016-12-04
MachineChestPress,2,20,15,2016-12-04
FreeMotionChestPress,1,20,15,2016-12-04
LatOverheadWeight,3,12,20,2016-12-04
D1,3,12,7.5,2016-12-04
D2,3,12,2,2016-12-04
Crunches,3,20,body,2016-12-04
Shrugs,3,20,12.5,2016-12-04
Jumprope,3,20,body,2016-12-04
SimultaneousDumbellCurls,1,15,12.5,2016-12-04
SimultaneousDumbellCurls,1,10,15,2016-12-04
SimultaneousDumbellCurls,1,10,15,2016-12-04
Triht,1,15,15,2016-12-04
Triht,2,10,25,2016-12-04
LatPullDown,2,15,60,2016-12-06
LatPullDown,1,15,50,2016-12-06
MachineFly,3,15,45,2016-12-06
LatOverheadWeight,3,12,12.5,2016-12-06
DumbellChestPress,3,15,15,2016-12-06
D1,3,12,10,2016-12-06
D2,3,12,2,2016-12-06
Shrugs,3,15,15,2016-12-06
Jumprope,8,25,body,2016-12-06
ConcentrationCurls,3,10,15,2016-12-06
Triht,2,10,27.5,2016-12-06
Triht,1,10,25,2016-12-06
LatPullDown,1,15,30,2016-12-08
LatPullDown,2,15,60,2016-12-08
LatPullDown,1,15,50,2016-12-08
MachineFly,1,15,30,2016-12-08
MachineFly,2,15,50,2016-12-08
MachineFly,1,15,40,2016-12-08
LatOverheadWeight,1,12,12.5,2016-12-08
LatOverheadWeight,3,12,25,2016-12-08
FreeMotionChestPress,1,16,15,2016-12-08
FreeMotionChestPress,3,15,30,2016-12-08
SeatedRow,1,15,7.5,2016-12-08
SeatedRow,3,15,15,2016-12-08
D1,3,12,10,2016-12-08
D2,3,12,3,2016-12-08
Jumprope,8,30,body,2016-12-08
DumbellShoulderPress,3,12,3,2016-12-08
ConcentrationCurls,1,10,7.5,2016-12-08
ConcentrationCurls,3,10,15,2016-12-08
Triht,1,10,12.5,2016-12-08
Triht,3,10,25,2016-12-08
Shrugs,1,10,10,2016-12-08
Shrugs,3,10,20,2016-12-08
LatPullDown,1,15,30,2016-12-10
LatPullDown,1,15,50,2016-12-10
LatPullDown,1,10,70,2016-12-10
LatPullDown,1,15,50,2016-12-10
MachineFly,1,15,30,2016-12-10
MachineFly,1,15,40,2016-12-10
MachineFly,1,10,65,2016-12-10
MachineFly,1,15,40,2016-12-10
DumbellChestPress,1,15,15,2016-12-10
DumbellChestPress,1,15,20,2016-12-10
DumbellChestPress,1,10,25,2016-12-10
DumbellChestPress,1,15,20,2016-12-10
LatOverheadWeight,3,15,25,2016-12-10
SeatedRow,1,15,7.5,2016-12-10
SeatedRow,1,15,12.5,2016-12-10
SeatedRow,1,10,20,2016-12-10
SeatedRow,1,15,12.5,2016-12-10
DumbellShoulderPress,3,12,3,2016-12-10
D1,3,12,10,2016-12-10
D2,3,12,3,2016-12-10
Jumprope,10,40,body,2016-12-10
ConcentrationCurls,3,10,15,2016-12-10
Triht,3,10,25,2016-12-10
Shrugs,3,10,25,2016-12-10
PhilCrunch,2,5,4,2016-12-11
LatPullDown,1,15,30,2016-12-13
LatPullDown,1,15,50,2016-12-13
LatPullDown,1,12,70,2016-12-13
LatPullDown,1,15,50,2016-12-13
MachineFly,1,15,30,2016-12-13
MachineFly,1,15,50,2016-12-13
MachineFly,1,12,70,2016-12-13
MachineFly,1,15,50,2016-12-13
BarShoulderPress,3,8,45,2016-12-13
DumbellChestPress,1,15,15,2016-12-13
DumbellChestPress,1,15,20,2016-12-13
DumbellChestPress,1,10,25,2016-12-13
DumbellChestPress,1,15,20,2016-12-13
LatOverheadWeight,1,15,15,2016-12-13
LatOverheadWeight,1,27.5,15,2016-12-13
LatOverheadWeight,1,32.5,10,2016-12-13
LatOverheadWeight,1,27.5,15,2016-12-13
PlateD1Bosu,1,15,10,2016-12-13
PlateD1Bosu,3,8,25,2016-12-13
Jumprope,4,50,body,2016-12-13
ShrugsBosu,3,10,25,2016-12-13
Triht,1,10,20,2016-12-13
Triht,1,10,30,2016-12-13
Triht,1,10,20,2016-12-13
ConcentrationCurls,1,10,12.5,2016-12-13
ConcentrationCurls,1,5,20,2016-12-13
ConcentrationCurls,1,10,12.5,2016-12-13
PhilCrunch,3,5,4,2016-12-13
LatPullDown,1,12,40,2016-12-15
LatPullDown,1,12,60,2016-12-15
LatPullDown,1,10,70,2016-12-15
LatPullDown,1,8,80,2016-12-15
MachineFly,1,12,30,2016-12-15
MachineFly,1,12,50,2016-12-15
MachineFly,1,10,60,2016-12-15
MachineFly,1,8,70,2016-12-15
LatOverheadWeight,1,12,15,2016-12-15
LatOverheadWeight,1,12,30,2016-12-15
LatOverheadWeight,1,10,32.5,2016-12-15
LatOverheadWeight,1,8,35,2016-12-15
DumbellChestPress,1,12,12.5,2016-12-15
DumbellChestPress,1,12,22.5,2016-12-15
DumbellChestPress,1,10,25,2016-12-15
DumbellChestPress,1,8,27.5,2016-12-15
SeatedRow,1,12,10,2016-12-15
SeatedRow,1,12,17.5,2016-12-15
SeatedRow,1,10,20,2016-12-15
SeatedRow,1,8,22.5,2016-12-15
PlateD1Bosu,1,12,10,2016-12-15
PlateD1Bosu,1,8,25,2016-12-15
D1,1,10,12.5,2016-12-15
D1,1,8,15,2016-12-15
Jumprope,2,50,body,2016-12-15
Jumprope,1,20,body,2016-12-15
BarShoulderPress,3,10,9,2016-12-15
ShrugsBosu,3,10,27.5,2016-12-15
Triht,1,12,27.5,2016-12-15
Triht,1,10,30,2016-12-15
Triht,1,8,32.5,2016-12-15
ConcentrationCurls,1,12,12.5,2016-12-15
ConcentrationCurls,1,10,15,2016-12-15
ConcentrationCurls,1,6,20,2016-12-15
PhilCrunch,1,5,4,2016-12-15
PhilCrunch,1,5,6,2016-12-15
PhilCrunch,1,5,8,2016-12-15
LatPullDown,1,12,40,2016-12-17
LatPullDown,1,12,60,2016-12-17
LatPullDown,1,10,70,2016-12-17
LatPullDown,1,8,80,2016-12-17
MachineFly,1,12,30,2016-12-17
MachineFly,1,12,50,2016-12-17
MachineFly,1,10,60,2016-12-17
MachineFly,1,8,70,2016-12-17
LatOverheadWeight,1,12,15,2016-12-17
LatOverheadWeight,1,12,30,2016-12-17
LatOverheadWeight,1,10,32.5,2016-12-17
LatOverheadWeight,1,8,35,2016-12-17
DumbellChestPress,1,12,12.5,2016-12-17
DumbellChestPress,1,12,22.5,2016-12-17
DumbellChestPress,1,10,25,2016-12-17
DumbellChestPress,1,8,30,2016-12-17
D1,1,12,10,2016-12-17
D1,1,10,12.5,2016-12-17
D1,1,8,15,2016-12-17
D2,1,12,2,2016-12-17
D2,1,10,3,2016-12-17
D2,1,8,5,2016-12-17
BarShoulderPress,3,10,12,2016-12-17
Jumprope,8,40,body,2016-12-17
SeatedRow,1,12,10,2016-12-17
SeatedRow,1,12,17.5,2016-12-17
SeatedRow,1,10,20,2016-12-17
SeatedRow,1,8,22.5,2016-12-17
BarChestPress,1,12,45,2016-12-17
BarChestPress,1,10,55,2016-12-17
BarChestPress,1,8,65,2016-12-17
ConcentrationCurls,1,12,12.5,2016-12-17
ConcentrationCurls,1,10,15,2016-12-17
ConcentrationCurls,1,8,20,2016-12-17
Triht,1,12,27.5,2016-12-17
Triht,1,10,30,2016-12-17
Triht,1,8,32.5,2016-12-17
ShrugsBosu,3,10,30,2016-12-17
PhilCrunch,3,5,8,2016-12-17
ClimbAndCross,3,3,body,2016-12-17
LegPress,1,20,100,2016-12-18
LegPress,1,15,150,2016-12-18
LegPress,1,12,180,2016-12-18
LegPress,1,10,200,2016-12-18
PhilCrunch,4,6,6,2016-12-18
Jumprope,13,80,body,2016-12-18
LatPullDown,1,12,40,2016-12-20
LatPullDown,1,12,60,2016-12-20
LatPullDown,1,10,70,2016-12-20
LatPullDown,1,8,80,2016-12-20
MachineFly,1,12,30,2016-12-20
MachineFly,1,12,50,2016-12-20
MachineFly,1,10,60,2016-12-20
MachineFly,1,8,70,2016-12-20
DumbellChestPress,1,12,12.5,2016-12-20
DumbellChestPress,1,12,25,2016-12-20
DumbellChestPress,1,10,27.5,2016-12-20
DumbellChestPress,1,8,30,2016-12-20
LatOverheadWeight,1,12,15,2016-12-20
LatOverheadWeight,1,12,30,2016-12-20
LatOverheadWeight,1,10,32.5,2016-12-20
LatOverheadWeight,1,8,35,2016-12-20
BarChestPress,1,12,45,2016-12-20
BarChestPress,1,12,55,2016-12-20
BarChestPress,1,10,65,2016-12-20
BarChestPress,1,8,75,2016-12-20
BarShoulderPress,3,20,12,2016-12-20
Jumprope,3,60,body,2016-12-20
SeatedRow,1,12,10,2016-12-20
SeatedRow,1,12,17.5,2016-12-20
SeatedRow,1,10,20,2016-12-20
SeatedRow,1,8,22.5,2016-12-20
DumbellInclineChestPress,1,12,7.5,2016-12-20
DumbellInclineChestPress,1,12,10,2016-12-20
DumbellInclineChestPress,1,10,12.5,2016-12-20
DumbellInclineChestPress,1,8,15,2016-12-20
PlateD1Bosu,3,12,10,2016-12-20
D2Bosu,3,12,2.5,2016-12-20
PhilCrunch,3,7,6,2016-12-20
ConcentrationCurls,1,12,12.5,2016-12-20
ConcentrationCurls,1,10,15,2016-12-20
ConcentrationCurls,1,8,20,2016-12-20
Triht,1,12,27.5,2016-12-20
Triht,1,10,30,2016-12-20
Triht,1,8,32.5,2016-12-20
ShrugsBosu,3,12,30,2016-12-20
DeclineCrunch,1,10,body,2016-12-20
