Exercise Name,Back,Chest,Shoulders,Biceps,Triceps,Core,Legs,Weight Per Hand,IsCardio,IsBalance
SeatedRow,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO
CableD1,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO
CableD2,YES,NO,YES,NO,NO,NO,NO,NO,NO,NO
D1,YES,NO,YES,YES,NO,NO,NO,YES,NO,NO
D2,YES,NO,YES,NO,NO,NO,NO,YES,NO,NO
LatPullDown,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO
Triht,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO
SimulteousDumbellCurls,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO
LatOverheadWeight,YES,NO,YES,NO,NO,YES,NO,NO,NO,NO
MachineFly,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO
MachineChestPress,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO
FreeMotionChestPress,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO
Shrugs,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO
ShrugsBosu,NO,NO,YES,NO,NO,NO,NO,YES,NO,YES
Jumprope ,NO,NO,NO,NO,NO,NO,YES,NO,YES,NO
Crunches,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
DumbellShoulderPress,YES,NO,YES,NO,YES,NO,YES,YES,NO,NO
DumbellChestPress,NO,YES,YES,NO,YES,NO,NO,YES,NO,NO
ConcentrationCurls,NO,NO,NO,YES,NO,NO,NO,YES,NO,NO
PhilCrunch,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES
BarShoulderPress,YES,NO,YES,NO,YES,NO,NO,NO,NO,NO
PlateD1Bosu,YES,NO,YES,NO,NO,YES,NO,NO,NO,YES
ClimbPlusCross,NO,NO,YES,NO,NO,YES,YES,NO,NO,YES
BarChestPress,NO,YES,YES,NO,YES,NO,NO,NO,NO,NO
LegPress,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO
SplitSquats,NO,NO,NO,NO,NO,YES,YES,YES,NO,YES
DumbellInclineChestPress,,YES,YES,NO,YES,NO,NO,YES,NO,NO
D2Bosu,YES,NO,YES,NO,NO,YES,NO,YES,NO,YES
DeclineCrunch,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
